----------- SubDyn v1.01.x MultiMember Support Structure Input File. Seismic DATA ------------
OC3 Monopile configuration.
-------------------------- SEISMIC DATA  ---------------------------------
        0.0050   DeltaTUg    - Time delta in input signal (s)
         20001   NtUg        - Number of data points
           0.0   UgDir       - Direction of shaking. 0-90º (0 => shaking in x, 90=> shanking in y)
      t        ug(t)      velg(t)      accg(t)      PHIg(t)   PHIvelg(t)   PHIaccg(t)        Vg(t)     Vvelg(t)     Vaccg(t)
    (s)       (m)          (m/s)       (m/s2)       (rad)      (rad/s)      (rad/s2)         (m)          (m/s)       (m/s2)
0.175000 -0.00000266 -0.00003117 -0.00000019 -0.00000000 -0.00000000 -0.00000000 -0.00000000 -0.00000000 -0.00000000
0.180000 -0.00000282 -0.00003211 -0.00000020 -0.00000000 -0.00000000 -0.00000000 -0.00000000 -0.00000000 -0.00000000
0.185000 -0.00000298 -0.00003306 -0.00000019 -0.00000000 -0.00000000 -0.00000000 -0.00000000 -0.00000000 -0.00000000
0.190000 -0.00000315 -0.00003398 -0.00000018 -0.00000000 -0.00000000 -0.00000000 -0.00000000 -0.00000000 -0.00000000
0.195000 -0.00000332 -0.00003486 -0.00000018 -0.00000000 -0.00000000 -0.00000000 -0.00000000 -0.00000000 -0.00000000
0.200000 -0.00000350 -0.00003574 -0.00000018 -0.00000000 -0.00000000 -0.00000000 -0.00000000 -0.00000000 -0.00000000
0.205000 -0.00000368 -0.00003660 -0.00000017 -0.00000000 -0.00000000 -0.00000000 -0.00000000 -0.00000000 -0.00000000
0.210000 -0.00000386 -0.00003745 -0.00000017 -0.00000000 -0.00000000 -0.00000000 -0.00000000 -0.00000000 -0.00000000
0.215000 -0.00000405 -0.00003833 -0.00000019 -0.00000000 -0.00000000 -0.00000000 -0.00000000 -0.00000000 -0.00000000
0.220000 -0.00000425 -0.00003928 -0.00000020 -0.00000000 -0.00000000 -0.00000000 -0.00000000 -0.00000000 -0.00000000
0.225000 -0.00000445 -0.00004022 -0.00000018 -0.00000000 -0.00000000 -0.00000000 -0.00000000 -0.00000000 -0.00000000
0.230000 -0.00000465 -0.00004106 -0.00000016 -0.00000000 -0.00000000 -0.00000000 -0.00000000 -0.00000000 -0.00000000
0.235000 -0.00000486 -0.00004188 -0.00000017 -0.00000000 -0.00000000 -0.00000000 -0.00000000 -0.00000000 -0.00000000
0.240000 -0.00000507 -0.00004274 -0.00000018 -0.00000000 -0.00000000 -0.00000000 -0.00000000 -0.00000000 -0.00000000
0.245000 -0.00000528 -0.00004362 -0.00000018 -0.00000000 -0.00000000 -0.00000000 -0.00000000 -0.00000000 -0.00000000
0.250000 -0.00000550 -0.00004447 -0.00000017 -0.00000000 -0.00000000 -0.00000000 -0.00000000 -0.00000000 -0.00000000
0.255000 -0.00000573 -0.00004529 -0.00000017 -0.00000000 -0.00000000 -0.00000000 -0.00000000 -0.00000000 -0.00000000
0.260000 -0.00000596 -0.00004610 -0.00000017 -0.00000000 -0.00000000 -0.00000000 -0.00000000 -0.00000000 -0.00000000
0.265000 -0.00000619 -0.00004695 -0.00000018 -0.00000000 -0.00000000 -0.00000000 -0.00000000 -0.00000000 -0.00000000
0.270000 -0.00000643 -0.00004783 -0.00000018 -0.00000000 -0.00000000 -0.00000000 -0.00000000 -0.00000000 -0.00000000
0.275000 -0.00000667 -0.00004869 -0.00000017 -0.00000000 -0.00000000 -0.00000000 -0.00000000 -0.00000000 -0.00000000
0.280000 -0.00000691 -0.00004956 -0.00000018 -0.00000000 -0.00000000 -0.00000000 -0.00000000 -0.00000000 -0.00000000
0.285000 -0.00000716 -0.00005044 -0.00000018 -0.00000000 -0.00000000 -0.00000000 -0.00000000 -0.00000000 -0.00000000
0.290000 -0.00000742 -0.00005131 -0.00000018 -0.00000000 -0.00000000 -0.00000000 -0.00000000 -0.00000000 -0.00000000
0.295000 -0.00000768 -0.00005219 -0.00000018 -0.00000000 -0.00000000 -0.00000000 -0.00000000 -0.00000000 -0.00000000
0.300000 -0.00000794 -0.00005314 -0.00000021 -0.00000000 -0.00000000 -0.00000000 -0.00000000 -0.00000000 -0.00000000
0.305000 -0.00000821 -0.00005418 -0.00000022 -0.00000000 -0.00000000 -0.00000000 -0.00000000 -0.00000000 -0.00000000
0.310000 -0.00000848 -0.00005514 -0.00000018 -0.00000000 -0.00000000 -0.00000000 -0.00000000 -0.00000000 -0.00000000
0.315000 -0.00000876 -0.00005603 -0.00000019 -0.00000000 -0.00000000 -0.00000000 -0.00000000 -0.00000000 -0.00000000
0.320000 -0.00000904 -0.00005704 -0.00000022 -0.00000000 -0.00000000 -0.00000000 -0.00000000 -0.00000000 -0.00000000
0.325000 -0.00000933 -0.00005808 -0.00000020 -0.00000000 -0.00000000 -0.00000000 -0.00000000 -0.00000000 -0.00000000
0.330000 -0.00000962 -0.00005903 -0.00000019 -0.00000000 -0.00000000 -0.00000000 -0.00000000 -0.00000000 -0.00000000
0.335000 -0.00000992 -0.00005998 -0.00000020 -0.00000000 -0.00000000 -0.00000000 -0.00000000 -0.00000000 -0.00000000
0.340000 -0.00001022 -0.00006098 -0.00000021 -0.00000000 -0.00000000 -0.00000000 -0.00000000 -0.00000000 -0.00000000
0.345000 -0.00001053 -0.00006199 -0.00000020 -0.00000000 -0.00000000 -0.00000000 -0.00000000 -0.00000000 -0.00000000
0.350000 -0.00001084 -0.00006297 -0.00000020 -0.00000000 -0.00000000 -0.00000000 -0.00000000 -0.00000000 -0.00000000
0.355000 -0.00001116 -0.00006401 -0.00000022 -0.00000000 -0.00000000 -0.00000000 -0.00000000 -0.00000000 -0.00000000
0.360000 -0.00001148 -0.00006521 -0.00000027 -0.00000000 -0.00000000 -0.00000000 -0.00000000 -0.00000000 -0.00000000
0.365000 -0.00001181 -0.00006654 -0.00000028 -0.00000000 -0.00000000 -0.00000000 -0.00000000 -0.00000000 -0.00000000
0.370000 -0.00001215 -0.00006784 -0.00000025 -0.00000000 -0.00000000 -0.00000000 -0.00000000 -0.00000000 -0.00000000
0.375000 -0.00001249 -0.00006908 -0.00000026 -0.00000000 -0.00000000 -0.00000000 -0.00000000 -0.00000000 -0.00000000
0.380000 -0.00001284 -0.00007036 -0.00000026 -0.00000000 -0.00000000 -0.00000000 -0.00000000 -0.00000000 -0.00000000
0.385000 -0.00001319 -0.00007159 -0.00000024 -0.00000000 -0.00000000 -0.00000000 -0.00000000 -0.00000000 -0.00000000
0.390000 -0.00001355 -0.00007279 -0.00000025 -0.00000000 -0.00000000 -0.00000000 -0.00000000 -0.00000000 -0.00000000
0.395000 -0.00001392 -0.00007407 -0.00000027 -0.00000000 -0.00000000 -0.00000000 -0.00000000 -0.00000000 -0.00000000
0.400000 -0.00001430 -0.00007536 -0.00000026 -0.00000000 -0.00000000 -0.00000000 -0.00000000 -0.00000000 -0.00000000
0.405000 -0.00001467 -0.00007656 -0.00000023 -0.00000000 -0.00000000 -0.00000000 -0.00000000 -0.00000000 -0.00000000
0.410000 -0.00001506 -0.00007763 -0.00000021 -0.00000000 -0.00000000 -0.00000000 -0.00000000 -0.00000000 -0.00000000
0.415000 -0.00001545 -0.00007870 -0.00000023 -0.00000000 -0.00000000 -0.00000000 -0.00000000 -0.00000000 -0.00000000
0.420000 -0.00001585 -0.00007999 -0.00000030 -0.00000000 -0.00000000 -0.00000000 -0.00000000 -0.00000000 -0.00000000
0.425000 -0.00001625 -0.00008132 -0.00000024 -0.00000000 -0.00000000 -0.00000000 -0.00000000 -0.00000000 -0.00000000
0.430000 -0.00001666 -0.00008244 -0.00000022 -0.00000000 -0.00000000 -0.00000000 -0.00000000 -0.00000000 -0.00000000
0.435000 -0.00001708 -0.00008358 -0.00000025 -0.00000000 -0.00000000 -0.00000000 -0.00000000 -0.00000000 -0.00000000
0.440000 -0.00001750 -0.00008479 -0.00000024 -0.00000000 -0.00000000 -0.00000000 -0.00000000 -0.00000000 -0.00000000
0.445000 -0.00001792 -0.00008591 -0.00000021 -0.00000000 -0.00000000 -0.00000000 -0.00000000 -0.00000000 -0.00000000
0.450000 -0.00001836 -0.00008686 -0.00000017 -0.00000000 -0.00000000 -0.00000000 -0.00000000 -0.00000000 -0.00000000
0.455000 -0.00001879 -0.00008767 -0.00000016 -0.00000000 -0.00000000 -0.00000000 -0.00000000 -0.00000000 -0.00000000
0.460000 -0.00001923 -0.00008844 -0.00000015 -0.00000000 -0.00000000 -0.00000000 -0.00000000 -0.00000000 -0.00000000
0.465000 -0.00001968 -0.00008926 -0.00000018 -0.00000000 -0.00000000 -0.00000000 -0.00000000 -0.00000000 -0.00000000
0.470000 -0.00002012 -0.00009011 -0.00000017 -0.00000000 -0.00000000 -0.00000000 -0.00000000 -0.00000000 -0.00000000
0.475000 -0.00002058 -0.00009087 -0.00000014 -0.00000000 -0.00000000 -0.00000000 -0.00000000 -0.00000000 -0.00000000
0.480000 -0.00002103 -0.00009163 -0.00000017 -0.00000000 -0.00000000 -0.00000000 -0.00000000 -0.00000000 -0.00000000
0.485000 -0.00002149 -0.00009253 -0.00000020 -0.00000000 -0.00000000 -0.00000000 -0.00000000 -0.00000000 -0.00000000
0.490000 -0.00002196 -0.00009338 -0.00000015 -0.00000000 -0.00000000 -0.00000000 -0.00000000 -0.00000000 -0.00000000
0.495000 -0.00002243 -0.00009414 -0.00000016 -0.00000000 -0.00000000 -0.00000000 -0.00000000 -0.00000000 -0.00000000
0.500000 -0.00002290 -0.00009487 -0.00000014 -0.00000000 -0.00000000 -0.00000000 -0.00000000 -0.00000000 -0.00000000
0.505000 -0.00002338 -0.00009540 -0.00000008 -0.00000000 -0.00000000 -0.00000000 -0.00000000 -0.00000000 -0.00000000
0.510000 -0.00002385 -0.00009579 -0.00000008 -0.00000000 -0.00000000 -0.00000000 -0.00000000 -0.00000000 -0.00000000
0.515000 -0.00002433 -0.00009624 -0.00000010 -0.00000000 -0.00000000 -0.00000000 -0.00000000 -0.00000000 -0.00000000
0.520000 -0.00002482 -0.00009686 -0.00000015 -0.00000000 -0.00000000 -0.00000000 -0.00000000 -0.00000000 -0.00000000
0.525000 -0.00002530 -0.00009739 -0.00000007 -0.00000000 -0.00000000 -0.00000000 -0.00000000 -0.00000000 -0.00000000
0.530000 -0.00002579 -0.00009752 0.00000001 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000
0.535000 -0.00002628 -0.00009755 -0.00000003 -0.00000000 -0.00000000 -0.00000000 -0.00000000 -0.00000000 -0.00000000
0.540000 -0.00002676 -0.00009775 -0.00000005 -0.00000000 -0.00000000 -0.00000000 -0.00000000 -0.00000000 -0.00000000
0.545000 -0.00002725 -0.00009803 -0.00000006 -0.00000000 -0.00000000 -0.00000000 -0.00000000 -0.00000000 -0.00000000
0.550000 -0.00002775 -0.00009834 -0.00000007 -0.00000000 -0.00000000 -0.00000000 -0.00000000 -0.00000000 -0.00000000
0.555000 -0.00002824 -0.00009866 -0.00000006 -0.00000000 -0.00000000 -0.00000000 -0.00000000 -0.00000000 -0.00000000
0.560000 -0.00002873 -0.00009901 -0.00000008 -0.00000000 -0.00000000 -0.00000000 -0.00000000 -0.00000000 -0.00000000
0.565000 -0.00002923 -0.00009931 -0.00000005 -0.00000000 -0.00000000 -0.00000000 -0.00000000 -0.00000000 -0.00000000
0.570000 -0.00002972 -0.00009958 -0.00000007 -0.00000000 -0.00000000 -0.00000000 -0.00000000 -0.00000000 -0.00000000
0.575000 -0.00003022 -0.00009962 0.00000005 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000
0.580000 -0.00003072 -0.00009938 0.00000004 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000
0.585000 -0.00003122 -0.00009930 -0.00000001 -0.00000000 -0.00000000 -0.00000000 -0.00000000 -0.00000000 -0.00000000
0.590000 -0.00003171 -0.00009956 -0.00000009 -0.00000000 -0.00000000 -0.00000000 -0.00000000 -0.00000000 -0.00000000
0.595000 -0.00003221 -0.00010016 -0.00000015 -0.00000000 -0.00000000 -0.00000000 -0.00000000 -0.00000000 -0.00000000
0.600000 -0.00003272 -0.00010069 -0.00000007 -0.00000000 -0.00000000 -0.00000000 -0.00000000 -0.00000000 -0.00000000
0.605000 -0.00003322 -0.00010081 0.00000002 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000
0.610000 -0.00003372 -0.00010058 0.00000008 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000
0.615000 -0.00003423 -0.00010037 0.00000001 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000
0.620000 -0.00003473 -0.00010061 -0.00000011 -0.00000000 -0.00000000 -0.00000000 -0.00000000 -0.00000000 -0.00000000
0.625000 -0.00003523 -0.00010101 -0.00000006 -0.00000000 -0.00000000 -0.00000000 -0.00000000 -0.00000000 -0.00000000
0.630000 -0.00003574 -0.00010126 -0.00000005 -0.00000000 -0.00000000 -0.00000000 -0.00000000 -0.00000000 -0.00000000
0.635000 -0.00003624 -0.00010165 -0.00000011 -0.00000000 -0.00000000 -0.00000000 -0.00000000 -0.00000000 -0.00000000
0.640000 -0.00003675 -0.00010222 -0.00000012 -0.00000000 -0.00000000 -0.00000000 -0.00000000 -0.00000000 -0.00000000
0.645000 -0.00003727 -0.00010278 -0.00000011 -0.00000000 -0.00000000 -0.00000000 -0.00000000 -0.00000000 -0.00000000
0.650000 -0.00003778 -0.00010344 -0.00000016 -0.00000000 -0.00000000 -0.00000000 -0.00000000 -0.00000000 -0.00000000
0.655000 -0.00003830 -0.00010427 -0.00000018 -0.00000000 -0.00000000 -0.00000000 -0.00000000 -0.00000000 -0.00000000
0.660000 -0.00003882 -0.00010491 -0.00000009 -0.00000000 -0.00000000 -0.00000000 -0.00000000 -0.00000000 -0.00000000
0.665000 -0.00003935 -0.00010537 -0.00000010 -0.00000000 -0.00000000 -0.00000000 -0.00000000 -0.00000000 -0.00000000
0.670000 -0.00003988 -0.00010590 -0.00000011 -0.00000000 -0.00000000 -0.00000000 -0.00000000 -0.00000000 -0.00000000
0.675000 -0.00004041 -0.00010622 -0.00000002 -0.00000000 -0.00000000 -0.00000000 -0.00000000 -0.00000000 -0.00000000
0.680000 -0.00004094 -0.00010628 -0.00000001 -0.00000000 -0.00000000 -0.00000000 -0.00000000 -0.00000000 -0.00000000
0.685000 -0.00004147 -0.00010658 -0.00000012 -0.00000000 -0.00000000 -0.00000000 -0.00000000 -0.00000000 -0.00000000
0.690000 -0.00004201 -0.00010710 -0.00000010 -0.00000000 -0.00000000 -0.00000000 -0.00000000 -0.00000000 -0.00000000
0.695000 -0.00004254 -0.00010762 -0.00000011 -0.00000000 -0.00000000 -0.00000000 -0.00000000 -0.00000000 -0.00000000
0.700000 -0.00004308 -0.00010812 -0.00000009 -0.00000000 -0.00000000 -0.00000000 -0.00000000 -0.00000000 -0.00000000
0.705000 -0.00004362 -0.00010864 -0.00000012 -0.00000000 -0.00000000 -0.00000000 -0.00000000 -0.00000000 -0.00000000
0.710000 -0.00004417 -0.00010899 -0.00000003 -0.00000000 -0.00000000 -0.00000000 -0.00000000 -0.00000000 -0.00000000
0.715000 -0.00004471 -0.00010931 -0.00000010 -0.00000000 -0.00000000 -0.00000000 -0.00000000 -0.00000000 -0.00000000
0.720000 -0.00004526 -0.00011023 -0.00000027 -0.00000000 -0.00000000 -0.00000000 -0.00000000 -0.00000000 -0.00000000
0.725000 -0.00004582 -0.00011126 -0.00000015 -0.00000000 -0.00000000 -0.00000000 -0.00000000 -0.00000000 -0.00000000
0.730000 -0.00004637 -0.00011178 -0.00000006 -0.00000000 -0.00000000 -0.00000000 -0.00000000 -0.00000000 -0.00000000
0.735000 -0.00004693 -0.00011234 -0.00000017 -0.00000000 -0.00000000 -0.00000000 -0.00000000 -0.00000000 -0.00000000
0.740000 -0.00004750 -0.00011329 -0.00000022 -0.00000000 -0.00000000 -0.00000000 -0.00000000 -0.00000000 -0.00000000
0.745000 -0.00004807 -0.00011447 -0.00000026 -0.00000000 -0.00000000 -0.00000000 -0.00000000 -0.00000000 -0.00000000
0.750000 -0.00004864 -0.00011566 -0.00000022 -0.00000000 -0.00000000 -0.00000000 -0.00000000 -0.00000000 -0.00000000
0.755000 -0.00004923 -0.00011686 -0.00000027 -0.00000000 -0.00000000 -0.00000000 -0.00000000 -0.00000000 -0.00000000
0.760000 -0.00004981 -0.00011804 -0.00000021 -0.00000000 -0.00000000 -0.00000000 -0.00000000 -0.00000000 -0.00000000
0.765000 -0.00005040 -0.00011874 -0.00000007 -0.00000000 -0.00000000 -0.00000000 -0.00000000 -0.00000000 -0.00000000
0.770000 -0.00005100 -0.00011878 0.00000006 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000
0.775000 -0.00005159 -0.00011872 -0.00000003 -0.00000000 -0.00000000 -0.00000000 -0.00000000 -0.00000000 -0.00000000
0.780000 -0.00005219 -0.00011911 -0.00000013 -0.00000000 -0.00000000 -0.00000000 -0.00000000 -0.00000000 -0.00000000
0.785000 -0.00005278 -0.00011967 -0.00000009 -0.00000000 -0.00000000 -0.00000000 -0.00000000 -0.00000000 -0.00000000
0.790000 -0.00005338 -0.00012025 -0.00000014 -0.00000000 -0.00000000 -0.00000000 -0.00000000 -0.00000000 -0.00000000
0.795000 -0.00005399 -0.00012074 -0.00000006 -0.00000000 -0.00000000 -0.00000000 -0.00000000 -0.00000000 -0.00000000
0.800000 -0.00005459 -0.00012062 0.00000010 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000
0.805000 -0.00005519 -0.00012047 -0.00000004 -0.00000000 -0.00000000 -0.00000000 -0.00000000 -0.00000000 -0.00000000
0.810000 -0.00005579 -0.00012082 -0.00000010 -0.00000000 -0.00000000 -0.00000000 -0.00000000 -0.00000000 -0.00000000
0.815000 -0.00005640 -0.00012169 -0.00000026 -0.00000000 -0.00000000 -0.00000000 -0.00000000 -0.00000000 -0.00000000
0.820000 -0.00005701 -0.00012333 -0.00000041 -0.00000000 -0.00000000 -0.00000000 -0.00000000 -0.00000000 -0.00000000
0.825000 -0.00005764 -0.00012518 -0.00000034 -0.00000000 -0.00000000 -0.00000000 -0.00000000 -0.00000000 -0.00000000
0.830000 -0.00005827 -0.00012705 -0.00000042 -0.00000000 -0.00000000 -0.00000000 -0.00000000 -0.00000000 -0.00000000
0.835000 -0.00005891 -0.00012919 -0.00000046 -0.00000000 -0.00000000 -0.00000000 -0.00000000 -0.00000000 -0.00000000
0.840000 -0.00005956 -0.00013137 -0.00000043 -0.00000000 -0.00000000 -0.00000000 -0.00000000 -0.00000000 -0.00000000
0.845000 -0.00006022 -0.00013326 -0.00000035 -0.00000000 -0.00000000 -0.00000000 -0.00000000 -0.00000000 -0.00000000
0.850000 -0.00006089 -0.00013500 -0.00000037 -0.00000000 -0.00000000 -0.00000000 -0.00000000 -0.00000000 -0.00000000
0.855000 -0.00006157 -0.00013673 -0.00000034 -0.00000000 -0.00000000 -0.00000000 -0.00000000 -0.00000000 -0.00000000
0.860000 -0.00006226 -0.00013870 -0.00000047 -0.00000000 -0.00000000 -0.00000000 -0.00000000 -0.00000000 -0.00000000
0.865000 -0.00006296 -0.00014107 -0.00000050 -0.00000000 -0.00000000 -0.00000000 -0.00000000 -0.00000000 -0.00000000
0.870000 -0.00006367 -0.00014285 -0.00000023 -0.00000000 -0.00000000 -0.00000000 -0.00000000 -0.00000000 -0.00000000
0.875000 -0.00006438 -0.00014434 -0.00000038 -0.00000000 -0.00000000 -0.00000000 -0.00000000 -0.00000000 -0.00000000
0.880000 -0.00006511 -0.00014731 -0.00000083 -0.00000000 -0.00000000 -0.00000000 -0.00000000 -0.00000000 -0.00000000
0.885000 -0.00006586 -0.00015161 -0.00000092 -0.00000000 -0.00000000 -0.00000000 -0.00000000 -0.00000000 -0.00000000
0.890000 -0.00006663 -0.00015549 -0.00000066 -0.00000000 -0.00000000 -0.00000000 -0.00000000 -0.00000000 -0.00000000
0.895000 -0.00006741 -0.00015869 -0.00000065 -0.00000000 -0.00000000 -0.00000000 -0.00000000 -0.00000000 -0.00000000
0.900000 -0.00006822 -0.00016192 -0.00000067 -0.00000000 -0.00000000 -0.00000000 -0.00000000 -0.00000000 -0.00000000
0.905000 -0.00006903 -0.00016517 -0.00000066 -0.00000000 -0.00000000 -0.00000000 -0.00000000 -0.00000000 -0.00000000
0.910000 -0.00006987 -0.00016808 -0.00000052 -0.00000000 -0.00000000 -0.00000000 -0.00000000 -0.00000000 -0.00000000
0.915000 -0.00007071 -0.00017089 -0.00000062 -0.00000000 -0.00000000 -0.00000000 -0.00000000 -0.00000000 -0.00000000
0.920000 -0.00007158 -0.00017418 -0.00000072 -0.00000000 -0.00000000 -0.00000000 -0.00000000 -0.00000000 -0.00000000
0.925000 -0.00007246 -0.00017775 -0.00000073 -0.00000000 -0.00000000 -0.00000000 -0.00000000 -0.00000000 -0.00000000
0.930000 -0.00007336 -0.00018169 -0.00000087 -0.00000000 -0.00000000 -0.00000000 -0.00000000 -0.00000000 -0.00000000
0.935000 -0.00007428 -0.00018622 -0.00000097 -0.00000000 -0.00000000 -0.00000000 -0.00000000 -0.00000000 -0.00000000
0.940000 -0.00007522 -0.00019077 -0.00000088 -0.00000000 -0.00000000 -0.00000000 -0.00000000 -0.00000000 -0.00000000
0.945000 -0.00007618 -0.00019462 -0.00000069 -0.00000000 -0.00000000 -0.00000000 -0.00000000 -0.00000000 -0.00000000
0.950000 -0.00007716 -0.00019793 -0.00000066 -0.00000000 -0.00000000 -0.00000000 -0.00000000 -0.00000000 -0.00000000
0.955000 -0.00007816 -0.00020123 -0.00000069 -0.00000000 -0.00000000 -0.00000000 -0.00000000 -0.00000000 -0.00000000
0.960000 -0.00007918 -0.00020479 -0.00000077 -0.00000000 -0.00000000 -0.00000000 -0.00000000 -0.00000000 -0.00000000
0.965000 -0.00008021 -0.00020876 -0.00000085 -0.00000000 -0.00000000 -0.00000000 -0.00000000 -0.00000000 -0.00000000
0.970000 -0.00008126 -0.00021274 -0.00000077 -0.00000000 -0.00000000 -0.00000000 -0.00000000 -0.00000000 -0.00000000
0.975000 -0.00008233 -0.00021598 -0.00000055 -0.00000000 -0.00000000 -0.00000000 -0.00000000 -0.00000000 -0.00000000
0.980000 -0.00008342 -0.00021818 -0.00000035 -0.00000000 -0.00000000 -0.00000000 -0.00000000 -0.00000000 -0.00000000
0.985000 -0.00008452 -0.00021981 -0.00000032 -0.00000000 -0.00000000 -0.00000000 -0.00000000 -0.00000000 -0.00000000
